CV_Text,JD_Text,Match_Label,Score
"Tôi là một nhà phát triển phần mềm với 5 năm kinh nghiệm trong việc tạo ra các ứng dụng web. Tôi đã làm việc với các công nghệ như Python, JavaScript và HTML/CSS. Tôi cũng có kinh nghiệm trong việc làm việc với cơ sở dữ liệu và đã tạo ra các báo cáo đơn giản. Tuy nhiên, tôi chưa có kinh nghiệm trực tiếp với các công cụ trực quan hóa dữ liệu như Tableau hoặc Power BI, nhưng tôi sẵn sàng học hỏi.",Data Visualization Expert,Medium,0.5
"Tôi là một chuyên gia tiếp thị với 3 năm kinh nghiệm trong việc tạo ra các chiến dịch quảng cáo trên mạng xã hội. Tôi đã làm việc với các công cụ như Facebook Ads và Google Ads để giúp các doanh nghiệp tăng cường sự hiện diện trực tuyến. Tôi cũng có kinh nghiệm trong việc tạo ra nội dung hấp dẫn và quản lý các chiến dịch quảng cáo. Tuy nhiên, tôi không có kinh nghiệm trong việc trực quan hóa dữ liệu hoặc phân tích dữ liệu, nhưng tôi có thể sử dụng Python để tạo ra các chương trình đơn giản.",Data Visualization Expert,Hard_Negative,0.0
"Tôi là một chuyên gia phân tích kinh doanh với hơn 5 năm kinh nghiệm trong lĩnh vực Business Intelligence. Tôi đã từng làm việc cho các công ty lớn như FPT, Viettel và đã thực hiện nhiều dự án phân tích dữ liệu, thiết kế và triển khai các hệ thống báo cáo và dashboard. Tôi có kỹ năng mạnh về SQL, Excel, Power BI và Tableau. Tôi cũng có kinh nghiệm làm việc với các công nghệ dữ liệu như Big Data, Data Warehouse và ETL. Tôi tự tin rằng mình có thể giúp doanh nghiệp của bạn đưa ra những quyết định sáng suốt dựa trên dữ liệu.",Business Intelligence Analyst,Positive,1.0
"Tôi là một chuyên viên phân tích dữ liệu với 3 năm kinh nghiệm. Tôi đã từng làm việc với các công cụ như Excel, SQL và đã thực hiện một số dự án phân tích dữ liệu. Tuy nhiên, tôi chưa có kinh nghiệm với Power BI và Tableau. Tôi cũng chưa từng làm việc với các công nghệ dữ liệu như Big Data và Data Warehouse. Tôi đang tìm cách phát triển kỹ năng của mình và học hỏi thêm về các công nghệ mới.",Business Intelligence Analyst,Medium,0.5
"Tôi là một kỹ sư phần mềm với 2 năm kinh nghiệm trong lĩnh vực phát triển ứng dụng di động. Tôi đã từng làm việc với các ngôn ngữ lập trình như Java, Swift và đã phát triển nhiều ứng dụng di động cho các công ty khác nhau. Tôi cũng có kinh nghiệm làm việc với các công nghệ như Machine Learning và Deep Learning. Tuy nhiên, tôi chưa bao giờ làm việc trong lĩnh vực Business Intelligence và không có kinh nghiệm với các công cụ phân tích dữ liệu như SQL, Excel, Power BI và Tableau.",Business Intelligence Analyst,Hard_Negative,0.0
"Tôi là một chuyên gia tích hợp công nghệ với hơn 8 năm kinh nghiệm trong lĩnh vực tích hợp hệ thống và phát triển phần mềm. Tôi đã từng làm việc cho các công ty công nghệ hàng đầu tại Việt Nam và có kinh nghiệm sâu sắc về các công nghệ như API, Microservices, Docker, Kubernetes và Cloud Computing. Tôi cũng có kỹ năng lãnh đạo dự án và quản lý đội ngũ, với khả năng giao tiếp tốt và làm việc hiệu quả trong môi trường đội nhóm.",Technology Integration,Positive,1.0
"Tôi là một lập trình viên với 5 năm kinh nghiệm, tôi đã từng làm việc với các công nghệ như Java, Python và JavaScript. Tôi cũng có kinh nghiệm về phát triển web và di động, tuy nhiên tôi chưa có kinh nghiệm về Docker và Kubernetes. Tôi sẵn sàng học hỏi và phát triển kỹ năng của mình để đáp ứng yêu cầu của công việc.",Technology Integration,Medium,0.5
"Tôi là một chuyên gia phân tích dữ liệu với 3 năm kinh nghiệm, tôi đã từng làm việc với các công cụ như Excel, SQL và Tableau. Tôi có kỹ năng phân tích và trình bày dữ liệu tốt, tuy nhiên tôi chưa có kinh nghiệm về phát triển phần mềm hoặc tích hợp hệ thống. Tôi đang tìm kiếm cơ hội để chuyển đổi sang lĩnh vực mới và học hỏi kỹ năng mới.",Technology Integration,Hard_Negative,0.0
"Tôi là một chuyên viên phân tích dữ liệu với 5 năm kinh nghiệm trong lĩnh vực phân tích kinh doanh và thống kê. Tôi đã từng làm việc với nhiều loại dữ liệu khác nhau, bao gồm dữ liệu khách hàng, dữ liệu bán hàng và dữ liệu tài chính. Tôi có kỹ năng sử dụng các công cụ như Excel, SQL, Tableau và Power BI để phân tích và trình bày dữ liệu. Tôi cũng có kinh nghiệm trong việc xây dựng các mô hình dự đoán và phân tích hồi quy.",Data Analyst,Positive,1.0
"Tôi là một chuyên viên phân tích kinh doanh với 3 năm kinh nghiệm trong lĩnh vực phân tích và tư vấn. Tôi đã từng làm việc với các công cụ như Excel và SQL, nhưng tôi chưa có kinh nghiệm với Tableau và Power BI. Tôi có kiến thức về thống kê và phân tích dữ liệu, nhưng tôi chưa có kinh nghiệm trong việc xây dựng các mô hình dự đoán.",Data Analyst,Medium,0.5
"Tôi là một lập trình viên Python với 2 năm kinh nghiệm trong lĩnh vực phát triển ứng dụng web. Tôi đã từng làm việc với các framework như Django và Flask, nhưng tôi chưa có kinh nghiệm trong lĩnh vực phân tích dữ liệu. Tôi có kiến thức về cấu trúc dữ liệu và giải thuật, nhưng tôi chưa có kinh nghiệm trong việc phân tích và trình bày dữ liệu.",Data Analyst,Hard_Negative,0.0
"Tôi là một chuyên viên quản lý chất lượng dữ liệu với hơn 8 năm kinh nghiệm. Tôi đã từng làm việc ở vị trí tương tự cho một công ty công nghệ thông tin lớn, nơi tôi đã xây dựng và triển khai các chiến lược đảm bảo chất lượng dữ liệu. Tôi có kiến thức sâu về các công cụ quản lý dữ liệu như Informatica, Talend và SQL. Tôi cũng có kỹ năng phân tích và giải quyết vấn đề tốt, có thể làm việc độc lập và theo nhóm.",Data Quality Manager,Positive,1.0
"Tôi là một chuyên viên phân tích dữ liệu với 5 năm kinh nghiệm. Tôi đã làm việc với các công cụ như Excel, SQL và Tableau. Tôi có kiến thức cơ bản về quản lý chất lượng dữ liệu, nhưng chưa có kinh nghiệm trực tiếp với các công cụ như Informatica hoặc Talend. Tôi có kỹ năng giao tiếp tốt và có thể làm việc theo nhóm.",Data Quality Manager,Medium,0.5
"Tôi là một nhà phát triển ứng dụng di động với 3 năm kinh nghiệm. Tôi đã làm việc với các ngôn ngữ lập trình như Java và Swift. Tôi có kiến thức cơ bản về cấu trúc dữ liệu, nhưng chưa có kinh nghiệm về quản lý chất lượng dữ liệu. Tôi có kỹ năng thiết kế và phát triển ứng dụng tốt, nhưng chưa có kinh nghiệm làm việc với các công cụ quản lý dữ liệu.",Data Quality Manager,Hard_Negative,0.0
"Tôi là một chuyên gia tích hợp công nghệ với hơn 5 năm kinh nghiệm trong việc phát triển và tích hợp các hệ thống công nghệ. Tôi đã từng làm việc cho các công ty công nghệ hàng đầu và đã tích hợp thành công nhiều hệ thống khác nhau. Tôi có kiến thức sâu về các công nghệ như API, Microservices, Docker, Kubernetes và có kinh nghiệm làm việc với các ngôn ngữ lập trình như Java, Python, C#. Tôi cũng có chứng chỉ về tích hợp hệ thống và quản lý dự án.",Technology Integration,Positive,1.0
"Tôi là một lập trình viên với 3 năm kinh nghiệm, tôi đã từng làm việc với các ngôn ngữ lập trình như Java, Python và có kiến thức về các công nghệ như API, Docker. Tôi đã từng tham gia vào các dự án phát triển phần mềm và tích hợp hệ thống, tuy nhiên tôi chưa có kinh nghiệm làm việc với Kubernetes và Microservices. Tôi đang tìm kiếm cơ hội để phát triển kỹ năng của mình và tham gia vào các dự án tích hợp công nghệ phức tạp.",Technology Integration,Medium,0.5
"Tôi là một chuyên gia phân tích dữ liệu với 2 năm kinh nghiệm, tôi đã từng làm việc với các công cụ như Excel, Tableau và có kiến thức về thống kê và phân tích dữ liệu. Tôi đã từng tham gia vào các dự án phân tích dữ liệu và tạo báo cáo, tuy nhiên tôi chưa có kinh nghiệm làm việc với các công nghệ như API, Docker, Kubernetes và không có kiến thức về lập trình. Tôi đang tìm kiếm cơ hội để chuyển sang lĩnh vực mới và phát triển kỹ năng của mình.",Technology Integration,Hard_Negative,0.0
"Tôi là một chuyên viên phân tích dữ liệu có kinh nghiệm 5 năm trong việc phân tích và trình bày dữ liệu. Tôi đã làm việc với nhiều công cụ như Excel, SQL, Tableau và Power BI để tạo ra các báo cáo và trình bày dữ liệu một cách rõ ràng và dễ hiểu. Tôi cũng có kiến thức về các mô hình thống kê và Machine Learning để phân tích và dự đoán xu hướng dữ liệu. Tôi đã tốt nghiệp Đại học với bằng Cử nhân về Toán học và Thống kê.",Data Analyst,Positive,1.0
"Tôi là một chuyên viên kinh doanh có kinh nghiệm 3 năm trong việc phân tích thị trường và tạo ra các chiến lược kinh doanh. Tôi đã làm việc với Excel và SQL để phân tích dữ liệu, nhưng tôi chưa có kinh nghiệm với các công cụ phân tích dữ liệu như Tableau và Power BI. Tôi cũng có kiến thức cơ bản về thống kê, nhưng tôi chưa được đào tạo chính thức về Machine Learning. Tôi đã tốt nghiệp Đại học với bằng Cử nhân về Kinh doanh.",Data Analyst,Medium,0.5
"Tôi là một lập trình viên có kinh nghiệm 2 năm trong việc phát triển ứng dụng web. Tôi đã làm việc với Python và Java để xây dựng các ứng dụng, nhưng tôi chưa có kinh nghiệm với phân tích dữ liệu. Tôi cũng chưa được đào tạo chính thức về thống kê và Machine Learning. Tôi đã tốt nghiệp Đại học với bằng Cử nhân về Công nghệ thông tin.",Data Analyst,Hard_Negative,0.0
"Tôi là một Chuyên viên Phân tích Kinh doanh với hơn 5 năm kinh nghiệm trong việc phân tích và cải thiện các quy trình kinh doanh. Tôi đã từng làm việc với nhiều khách hàng để hiểu rõ nhu cầu của họ và đề xuất các giải pháp phù hợp. Tôi có kỹ năng phân tích dữ liệu, tư duy logic và khả năng giao tiếp hiệu quả. Tôi đã từng sử dụng các công cụ như Excel, SQL và Tableau để phân tích dữ liệu và tạo báo cáo. Tôi cũng có kinh nghiệm trong việc quản lý dự án và làm việc với các nhóm đa chức năng.",Business Analyst,Positive,1.0
"Tôi là một Chuyên viên Tư vấn với 3 năm kinh nghiệm trong việc tư vấn cho các doanh nghiệp về các vấn đề quản lý. Tôi có kỹ năng tư duy sáng tạo và khả năng giao tiếp tốt. Tôi đã từng sử dụng các công cụ như Excel và PowerPoint để tạo báo cáo và trình bày. Tuy nhiên, tôi chưa có kinh nghiệm về phân tích dữ liệu và quản lý dự án. Tôi mong muốn phát triển kỹ năng của mình trong lĩnh vực phân tích kinh doanh.",Business Analyst,Medium,0.5
"Tôi là một Nhà thiết kế đồ họa với 2 năm kinh nghiệm trong việc tạo ra các thiết kế đồ họa cho các khách hàng. Tôi có kỹ năng sử dụng các công cụ như Adobe Creative Suite và có khả năng sáng tạo cao. Tuy nhiên, tôi không có kinh nghiệm về phân tích kinh doanh hoặc quản lý dự án. Tôi đang tìm kiếm một công việc mới để phát triển kỹ năng của mình, nhưng tôi không chắc chắn về việc mình có phù hợp với vai trò Chuyên viên Phân tích Kinh doanh hay không.",Business Analyst,Hard_Negative,0.0
"Tôi là một Kiến trúc sư đám mây giàu kinh nghiệm với hơn 8 năm kinh nghiệm trong việc thiết kế và triển khai các hệ thống đám mây phức tạp. Tôi đã từng làm việc với các công nghệ như AWS, Azure và Google Cloud, cũng như các công cụ như Docker, Kubernetes và Terraform. Tôi cũng có kinh nghiệm trong việc đảm bảo an ninh và tuân thủ cho các hệ thống đám mây. Tôi đã từng làm việc với các công ty lớn và có thể thiết kế và triển khai các hệ thống đám mây theo yêu cầu của khách hàng.",Cloud Architect,Positive,1.0
"Tôi là một Kỹ sư phần mềm với 5 năm kinh nghiệm, tôi đã từng làm việc với các công nghệ như Python, Java và JavaScript. Tôi cũng có kinh nghiệm trong việc sử dụng các công cụ như Git và Jenkins. Tôi đã từng làm việc với các hệ thống đám mây như AWS, nhưng tôi chưa có kinh nghiệm với Azure và Google Cloud. Tôi cũng chưa có kinh nghiệm với các công cụ như Docker và Kubernetes.",Cloud Architect,Medium,0.5
"Tôi là một Nhà phân tích dữ liệu với 3 năm kinh nghiệm, tôi đã từng làm việc với các công nghệ như Excel, SQL và Tableau. Tôi cũng có kinh nghiệm trong việc phân tích dữ liệu và tạo báo cáo. Tôi đã từng sử dụng Python để phân tích dữ liệu, nhưng tôi chưa có kinh nghiệm với các công nghệ đám mây như AWS, Azure và Google Cloud. Tôi cũng chưa có kinh nghiệm với các công cụ như Docker và Kubernetes.",Cloud Architect,Hard_Negative,0.0
"Tôi là một chuyên viên quản lý chất lượng dữ liệu với hơn 5 năm kinh nghiệm trong lĩnh vực phân tích và cải thiện chất lượng dữ liệu. Tôi đã từng làm việc trong các dự án về quản lý dữ liệu lớn, thiết kế và triển khai các quy trình kiểm tra chất lượng dữ liệu. Tôi có kỹ năng sử dụng các công cụ như SQL, Python, và Tableau để phân tích và trực quan hóa dữ liệu. Tôi cũng có kinh nghiệm trong việc xây dựng và quản lý các đội nhóm để đảm bảo chất lượng dữ liệu.",Data Quality Manager,Positive,1.0
"Tôi là một chuyên viên phân tích dữ liệu với 3 năm kinh nghiệm trong lĩnh vực phân tích dữ liệu. Tôi đã từng làm việc với các công cụ như Excel, SQL, và Power BI để phân tích và trực quan hóa dữ liệu. Tuy nhiên, tôi chưa có kinh nghiệm trực tiếp trong quản lý chất lượng dữ liệu, nhưng tôi sẵn sàng học hỏi và phát triển trong lĩnh vực này.",Data Quality Manager,Medium,0.5
"Tôi là một nhà thiết kế đồ họa với hơn 2 năm kinh nghiệm trong lĩnh vực thiết kế và sáng tạo. Tôi đã từng làm việc với các công cụ như Adobe Creative Cloud, đặc biệt là Photoshop và Illustrator. Tôi cũng có kinh nghiệm trong việc thiết kế và xây dựng các trang web sử dụng HTML, CSS, và JavaScript. Mặc dù tôi không có kinh nghiệm trong lĩnh vực quản lý chất lượng dữ liệu, nhưng tôi nghĩ rằng kỹ năng sáng tạo và thiết kế của tôi có thể được áp dụng trong một số cách nào đó.",Data Quality Manager,Hard_Negative,0.0
"Tôi là một Kỹ sư Dữ liệu lớn với hơn 5 năm kinh nghiệm trong việc thiết kế, xây dựng và triển khai các hệ thống dữ liệu lớn. Tôi đã làm việc với các công nghệ như Hadoop, Spark, NoSQL và có kinh nghiệm với các ngôn ngữ lập trình như Java, Python, Scala. Tôi cũng có kiến thức về các công cụ như Hive, Pig, Sqoop và có thể sử dụng các kỹ thuật như MapReduce, Spark SQL. Tôi đã từng làm việc cho một số công ty lớn và có thành tích tốt trong việc tối ưu hóa hiệu suất và giảm thiểu chi phí cho các hệ thống dữ liệu lớn.",Big Data Engineer,Positive,1.0
"Tôi là một Nhà phát triển phần mềm với 3 năm kinh nghiệm trong việc xây dựng các ứng dụng web. Tôi đã làm việc với các ngôn ngữ lập trình như Java, Python và có kiến thức về các framework như Spring, Django. Tôi cũng có kinh nghiệm với các cơ sở dữ liệu như MySQL, MongoDB. Tuy nhiên, tôi chưa có kinh nghiệm trực tiếp với các công nghệ như Hadoop, Spark nhưng tôi sẵn sàng học hỏi và phát triển kỹ năng của mình.",Big Data Engineer,Medium,0.5
"Tôi là một Chuyên viên phân tích dữ liệu với 2 năm kinh nghiệm trong việc phân tích và trình bày dữ liệu. Tôi đã làm việc với các công cụ như Excel, Tableau và có kiến thức về các kỹ thuật thống kê. Tôi cũng có kinh nghiệm với các ngôn ngữ lập trình như R, Python nhưng chỉ trong phạm vi phân tích dữ liệu. Tôi chưa có kinh nghiệm nào với các công nghệ như Hadoop, Spark, NoSQL và không có kiến thức về các hệ thống dữ liệu lớn.",Big Data Engineer,Hard_Negative,0.0
"Tôi là một kỹ sư học máy sâu với 5 năm kinh nghiệm trong lĩnh vực trí tuệ nhân tạo. Tôi đã từng làm việc cho các công ty công nghệ hàng đầu và đã phát triển các mô hình học sâu để giải quyết các vấn đề thực tế. Tôi có kiến thức sâu về các kiến trúc mạng nơ-ron như CNN, RNN, LSTM và Transformers. Tôi cũng có kinh nghiệm với các thư viện như TensorFlow, PyTorch và Keras.",Deep Learning,Positive,1.0
"Tôi là một nhà phát triển phần mềm với 3 năm kinh nghiệm trong lĩnh vực công nghệ thông tin. Tôi đã từng làm việc với các ngôn ngữ lập trình như Python, Java và C++. Tôi cũng có kiến thức cơ bản về học máy và đã từng sử dụng thư viện Scikit-learn để xây dựng các mô hình dự đoán. Tuy nhiên, tôi chưa có kinh nghiệm với các kiến trúc mạng nơ-ron sâu và các thư viện như TensorFlow hoặc PyTorch.",Deep Learning,Medium,0.5
"Tôi là một nhà phân tích dữ liệu với 2 năm kinh nghiệm trong lĩnh vực kinh doanh. Tôi đã từng làm việc với các công cụ như Excel, SQL và Tableau để phân tích và trực quan hóa dữ liệu. Tôi cũng có kiến thức cơ bản về lập trình với ngôn ngữ Python, nhưng chưa có kinh nghiệm với các lĩnh vực như học máy sâu hoặc trí tuệ nhân tạo. Tôi đang tìm kiếm cơ hội để chuyển sang lĩnh vực mới và học hỏi các kỹ năng mới.",Deep Learning,Hard_Negative,0.0
"Tôi là một chuyên viên lập trình có kinh nghiệm về Data Warehousing, tôi đã từng làm việc với các công cụ như Amazon Redshift, Google BigQuery và Azure Synapse Analytics. Tôi có kiến thức sâu về thiết kế và triển khai kho dữ liệu, cũng như kinh nghiệm về ETL và ELT. Tôi cũng có kỹ năng về phân tích dữ liệu và báo cáo, sử dụng các công cụ như Tableau và Power BI.",Data Warehousing,Positive,1.0
"Tôi là một lập trình viên có kinh nghiệm về phát triển ứng dụng, tôi đã từng làm việc với các công nghệ như Python và Django. Tôi cũng có kiến thức cơ bản về cơ sở dữ liệu và đã từng làm việc với MySQL. Tuy nhiên, tôi chưa có kinh nghiệm trực tiếp về Data Warehousing, nhưng tôi sẵn sàng học hỏi và phát triển kỹ năng của mình.",Data Warehousing,Medium,0.5
"Tôi là một nhà thiết kế đồ họa có kinh nghiệm về thiết kế giao diện người dùng, tôi đã từng làm việc với các công cụ như Adobe Creative Cloud. Tôi cũng có kiến thức cơ bản về lập trình, nhưng tôi chưa từng làm việc với các công nghệ liên quan đến Data Warehousing. Tôi đang tìm kiếm một công việc mới để phát triển kỹ năng của mình, nhưng tôi không chắc chắn liệu tôi có phù hợp với vị trí này hay không.",Data Warehousing,Hard_Negative,0.0
"Tôi là một chuyên viên phân tích dữ liệu với kinh nghiệm 5 năm trong lĩnh vực phân tích kinh doanh. Tôi đã từng làm việc tại các công ty lớn như FPT, Viettel và đã thực hiện nhiều dự án phân tích dữ liệu thành công. Tôi có kỹ năng phân tích dữ liệu bằng các công cụ như Excel, SQL, Tableau và Power BI. Tôi cũng có kiến thức sâu về thống kê và phân tích dữ liệu.",Data Analyst,Positive,1.0
"Tôi là một nhân viên kinh doanh với 3 năm kinh nghiệm. Tôi đã từng làm việc tại các công ty thương mại và đã từng tham gia vào các dự án phân tích thị trường. Tôi có kỹ năng sử dụng Excel và có kiến thức cơ bản về thống kê. Tuy nhiên, tôi chưa có kinh nghiệm sử dụng các công cụ phân tích dữ liệu như SQL, Tableau và Power BI.",Data Analyst,Medium,0.5
"Tôi là một lập trình viên Python với 2 năm kinh nghiệm. Tôi đã từng làm việc tại các công ty công nghệ và đã từng tham gia vào các dự án phát triển phần mềm. Tôi có kỹ năng sử dụng Python và có kiến thức cơ bản về phát triển web. Tuy nhiên, tôi chưa có kinh nghiệm trong lĩnh vực phân tích dữ liệu và chưa từng sử dụng các công cụ phân tích dữ liệu như Excel, SQL, Tableau và Power BI.",Data Analyst,Hard_Negative,0.0
"Tôi là một Kiến trúc sư Mạng với hơn 8 năm kinh nghiệm trong lĩnh vực thiết kế và triển khai hạ tầng mạng phức tạp. Tôi đã từng làm việc cho các công ty công nghệ hàng đầu, nơi tôi đã phát triển và triển khai các giải pháp mạng tiên tiến, bao gồm cả mạng LAN, WAN và Wi-Fi. Tôi có kiến thức sâu về các giao thức mạng như TCP/IP, DNS, DHCP và các công nghệ bảo mật như Firewall, VPN. Tôi cũng có kinh nghiệm với các thiết bị mạng từ các nhà cung cấp như Cisco, Juniper và HP.",Network Architect,Positive,1.0
"Tôi là một Chuyên viên Hệ thống với 5 năm kinh nghiệm trong lĩnh vực CNTT. Tôi đã từng làm việc với các hệ thống mạng nhỏ và vừa, nơi tôi đã thiết lập và quản lý các mạng LAN và Wi-Fi. Tôi có kiến thức cơ bản về các giao thức mạng như TCP/IP và DNS, nhưng tôi chưa có kinh nghiệm với các công nghệ bảo mật như Firewall và VPN. Tôi cũng đã từng làm việc với các thiết bị mạng từ các nhà cung cấp như Cisco và HP, nhưng tôi chưa có kinh nghiệm với các thiết bị Juniper.",Network Architect,Medium,0.5
"Tôi là một Nhà phân tích Dữ liệu với 3 năm kinh nghiệm trong lĩnh vực phân tích và trực quan hóa dữ liệu. Tôi đã từng làm việc với các công cụ phân tích như Excel, SQL và Tableau, nơi tôi đã phát triển và triển khai các báo cáo và bảng điều khiển dữ liệu. Tôi có kiến thức cơ bản về lập trình Python, nhưng tôi chưa có kinh nghiệm với các công nghệ mạng. Tôi cũng đã từng làm việc với các dự án dữ liệu lớn, nhưng tôi chưa có kinh nghiệm với các hệ thống mạng phức tạp.",Network Architect,Hard_Negative,0.0
"Tôi là một chuyên viên quản trị hệ thống IT với hơn 5 năm kinh nghiệm trong việc quản lý và vận hành hệ thống mạng, máy chủ, và thiết bị lưu trữ. Tôi đã từng làm việc cho các công ty lớn và có kiến thức sâu về các hệ điều hành như Windows, Linux, và VMware. Tôi cũng có kinh nghiệm về việc triển khai và quản lý các giải pháp an ninh mạng như firewall, VPN, và IDS. Tôi có chứng chỉ CompTIA A+ và Cisco CCNA.",IT Systems Administrator,Positive,1.0
